T,F M0,P M0,F M1,P M1,F M2,P M2,F M3,P M3,F M4,P M4,F M5,P M5
0.04,2.222,0.315,3.281,0.288,4.298,0.263,5.282,0.234,6.272,0.210,7.311,0.183
0.08,2.222,0.315,3.260,0.288,4.298,0.264,5.282,0.235,6.286,0.210,7.304,0.183
0.12,2.215,0.315,3.253,0.289,4.298,0.264,5.289,0.235,6.293,0.208,7.317,0.183
0.16,2.215,0.317,3.240,0.289,4.285,0.264,5.261,0.235,6.265,0.207,7.290,0.183
0.20,2.208,0.318,3.212,0.292,4.250,0.264,5.282,0.235,6.313,0.207,7.297,0.183
0.24,2.208,0.317,3.199,0.292,4.250,0.265,5.282,0.235,6.293,0.207,7.317,0.183
0.28,2.215,0.318,3.205,0.292,4.223,0.265,5.289,0.235,6.293,0.206,7.304,0.183
0.32,2.229,0.318,3.192,0.292,4.196,0.265,5.296,0.234,6.306,0.206,7.324,0.183
0.36,2.229,0.317,3.226,0.289,4.203,0.265,5.282,0.235,6.300,0.206,7.331,0.182
0.40,2.215,0.317,3.240,0.289,4.203,0.263,5.289,0.234,6.320,0.206,7.317,0.183
0.44,2.235,0.317,3.246,0.291,4.216,0.262,5.296,0.234,6.320,0.206,7.345,0.182
0.48,2.208,0.318,3.267,0.290,4.244,0.262,5.282,0.235,6.293,0.206,7.338,0.182
0.52,2.201,0.318,3.267,0.290,4.244,0.261,5.268,0.234,6.320,0.206,7.331,0.182
0.56,2.201,0.318,3.267,0.290,4.271,0.261,5.275,0.234,6.306,0.206,7.345,0.182
0.60,2.208,0.318,3.253,0.291,4.298,0.260,5.268,0.234,6.286,0.206,7.345,0.182
0.64,2.222,0.318,3.246,0.289,4.305,0.260,5.275,0.234,6.313,0.207,7.331,0.182
0.68,2.222,0.317,3.240,0.289,4.305,0.260,5.268,0.234,6.293,0.207,7.345,0.182
0.72,2.222,0.318,3.212,0.289,4.298,0.260,5.268,0.234,6.272,0.207,7.324,0.182
0.76,2.222,0.317,3.199,0.289,4.271,0.261,5.282,0.235,6.293,0.208,7.324,0.182
0.80,2.229,0.318,3.199,0.290,4.271,0.261,5.282,0.234,6.279,0.208,7.324,0.182
0.84,2.215,0.317,3.205,0.289,4.230,0.262,5.275,0.234,6.279,0.208,7.297,0.182
0.88,2.215,0.317,3.212,0.289,4.237,0.262,5.289,0.234,6.293,0.208,7.317,0.182
0.92,2.201,0.318,3.226,0.289,4.216,0.263,5.275,0.234,6.286,0.210,7.317,0.183
0.96,2.208,0.318,3.240,0.289,4.196,0.265,5.282,0.234,6.293,0.210,7.304,0.183
1.00,2.215,0.317,3.253,0.288,4.203,0.265,5.289,0.234,6.313,0.209,7.324,0.183
1.04,2.222,0.317,3.274,0.290,4.216,0.265,5.282,0.234,6.306,0.210,7.317,0.182
1.08,2.208,0.317,3.267,0.290,4.223,0.265,5.302,0.234,6.320,0.210,7.297,0.183
1.12,2.215,0.317,3.253,0.291,4.244,0.264,5.296,0.234,6.313,0.210,7.331,0.183
1.16,2.222,0.317,3.246,0.291,4.271,0.264,5.289,0.234,6.306,0.209,7.304,0.183
1.20,2.229,0.317,3.240,0.291,4.285,0.264,5.296,0.234,6.341,0.209,7.304,0.183
1.24,2.222,0.318,3.233,0.292,4.312,0.264,5.282,0.234,6.306,0.209,7.338,0.182
1.28,2.208,0.318,3.212,0.292,4.305,0.264,5.282,0.234,6.306,0.209,7.324,0.182
1.32,2.201,0.318,3.192,0.292,4.305,0.264,5.275,0.235,6.334,0.209,7.331,0.183
1.36,2.208,0.318,3.199,0.292,4.298,0.264,5.268,0.235,6.306,0.209,7.338,0.182
1.40,2.208,0.318,3.205,0.292,4.264,0.264,5.275,0.234,6.306,0.209,7.311,0.183
1.44,2.229,0.318,3.240,0.292,4.244,0.264,5.282,0.235,6.306,0.207,7.338,0.182
1.48,2.222,0.318,3.240,0.291,4.230,0.264,5.268,0.235,6.286,0.207,7.324,0.182
1.52,2.222,0.318,3.260,0.291,4.216,0.265,5.289,0.235,6.286,0.208,7.317,0.183
1.56,2.235,0.318,3.274,0.290,4.203,0.265,5.289,0.234,6.293,0.207,7.324,0.183
1.60,2.215,0.318,3.260,0.291,4.196,0.263,5.268,0.234,6.279,0.207,7.317,0.183
1.64,2.208,0.318,3.267,0.291,4.209,0.262,5.282,0.234,6.286,0.207,7.311,0.183
1.68,2.208,0.318,3.240,0.291,4.223,0.262,5.289,0.234,6.293,0.207,7.317,0.183
1.72,2.208,0.317,3.226,0.291,4.244,0.262,5.275,0.234,6.293,0.207,7.304,0.183
1.76,2.215,0.317,3.226,0.292,4.257,0.261,5.289,0.234,6.300,0.207,7.297,0.183
1.80,2.215,0.317,3.212,0.292,4.278,0.261,5.282,0.234,6.293,0.207,7.311,0.180
1.84,2.229,0.317,3.199,0.292,4.291,0.261,5.289,0.234,6.306,0.207,7.290,0.180
1.88,2.222,0.317,3.212,0.292,4.305,0.260,5.282,0.234,6.327,0.206,7.304,0.180
1.92,2.208,0.317,3.219,0.292,4.298,0.260,5.282,0.234,6.300,0.207,7.311,0.180
1.96,2.222,0.317,3.240,0.291,4.291,0.261,5.282,0.234,6.320,0.206,7.304,0.180
2.00,2.201,0.318,3.246,0.291,4.285,0.261,5.289,0.234,6.313,0.207,7.331,0.180
2.04,2.208,0.318,3.260,0.290,4.264,0.262,5.275,0.234,6.306,0.207,7.317,0.180
2.08,2.201,0.317,3.267,0.290,4.237,0.262,5.282,0.234,6.313,0.207,7.304,0.180
2.12,2.215,0.317,3.267,0.290,4.223,0.265,5.275,0.234,6.320,0.207,7.345,0.180
2.16,2.222,0.317,3.260,0.291,4.216,0.265,5.275,0.234,6.300,0.207,7.331,0.182
2.20,2.222,0.317,3.253,0.291,4.209,0.266,5.282,0.234,6.320,0.210,7.317,0.182
2.24,2.229,0.317,3.233,0.292,4.203,0.266,5.282,0.234,6.300,0.210,7.345,0.182
2.28,2.222,0.318,3.212,0.292,4.223,0.265,5.275,0.234,6.293,0.210,7.331,0.182
2.32,2.215,0.317,3.212,0.292,4.244,0.265,5.289,0.234,6.293,0.210,7.331,0.182
2.36,2.208,0.318,3.192,0.292,4.257,0.265,5.282,0.234,6.286,0.210,7.338,0.183
2.40,2.201,0.318,3.219,0.292,4.278,0.265,5.289,0.234,6.279,0.210,7.304,0.183
2.44,2.208,0.318,3.226,0.292,4.291,0.264,5.296,0.234,6.293,0.210,7.324,0.183
2.48,2.201,0.318,3.240,0.292,4.312,0.264,5.289,0.234,6.272,0.210,7.324,0.183
2.52,2.208,0.317,3.253,0.291,4.298,0.264,5.275,0.234,6.293,0.210,7.304,0.183
2.56,2.222,0.318,3.260,0.290,4.305,0.263,5.282,0.234,6.300,0.209,7.317,0.183
2.60,2.235,0.317,3.274,0.290,4.291,0.264,5.282,0.234,6.293,0.207,7.304,0.184
2.64,2.222,0.317,3.274,0.290,4.278,0.262,5.289,0.234,6.313,0.207,7.283,0.183
2.68,2.215,0.317,3.253,0.291,4.250,0.262,5.289,0.234,6.306,0.206,7.304,0.184
2.72,2.208,0.318,3.246,0.291,4.230,0.262,5.282,0.234,6.300,0.206,7.283,0.183
2.76,2.208,0.317,3.219,0.291,4.230,0.262,5.282,0.234,6.313,0.206,7.290,0.184
2.80,2.208,0.318,3.219,0.289,4.203,0.263,5.261,0.234,6.313,0.206,7.304,0.183
2.84,2.208,0.317,3.219,0.290,4.216,0.262,5.282,0.234,6.306,0.206,7.297,0.183
